unspsc,root_domain,page_url,product_title,product_summary,product_name,product_identifier,brand,intended_industries,applicability,eco_friendly,ethical_and_sustainability_practices,production_capacity,price,materials,ingredients,manufacturing_countries,manufacturing_year,manufacturing_type,customization,packaging_type,form,size,color,purity,energy_efficiency,pressure_rating,power_rating,quality_standards_and_certifications,miscellaneous_features,description,key
Agricultural machinery for harvesting,fxforagerparts.co.uk,http://www.fxforagerparts.co.uk/,New Holland Forage Harvester Parts for NH FX Series,"New Holland Forage Harvester Parts for NH FX Series are essential maintenance and wearing parts specifically designed for the New Holland FX Series Self Propelled Forage Harvesters. These parts include a variety of components such as knife sets, shearbars, blowers, spouts, filters, and other critical parts. The parts are available for several models within the FX Series, including FX28 (9/98), FX450 (YELLOW), FX30 (1/02), FX48 (9/98), FX300 (YELLOW), FX50 (1/02), FX375 (YELLOW), FX58 (9/98), FX38 (9/98), FX60 (1/02), and FX40 (1/02). Each model comes with detailed diagrams and parts lists to ensure compatibility and proper installation. The parts are available for both the hydraulic system, power take-off group, blower, gearbox, capacities, crop processor, and various other components. Additionally, the parts include alternators, starters, water pumps, thermostats, belts, revolving dust screen brushes, spouts, traction gearbox splined bushings, brakes, and more. These parts are crucial for maintaining the efficiency and performance of the forage harvesters, ensuring they operate smoothly and effectively. The parts are available for purchase in the UK and worldwide, with options for both individual parts and comprehensive kits. The company offers competitive pricing and reliable customer service, making it a preferred choice for New Holland FX Series forage harvesters.",Forage Harvester Parts,[],New Holland,['Agriculture'],['maintenance and wearing parts for New Holland FX Series Self Propelled Forage Harvesters'],,[],[],[],[],[],[],-1,[],"['Available for several models within the FX Series'
 'Detailed diagrams and parts lists for compatibility and proper installation']",[],[],[],[],[],[],[],[],[],"['Detailed diagrams and parts lists included'
 'Available for purchase in the UK and worldwide'
 'Options for both individual parts and comprehensive kits']","""Forage Harvester Parts"" are essential maintenance and wearing parts designed for the New Holland FX Series Self Propelled Forage Harvesters. These parts, including knife sets, shearbars, blowers, spouts, filters, and others, are crucial for maintaining the efficiency and performance of the harvesters. They are available for various models within the FX Series and are compatible with the hydraulic system, power take-off group, blower, gearbox, and other components. The parts are available for purchase in the United Kingdom and worldwide, with options for both individual parts and comprehensive kits.",http://www.fxforagerparts.co.uk/|New Holland Forage Harvester Parts for NH FX Series
Personal paper products,babysoft.co.za,https://www.babysoft.co.za/,Baby Soft® Fresh Moist Toilet Tissue,"A fresh moist toilet tissue product from Baby Soft®, designed to provide a gentle and luxurious clean. It is 100% safe to flush, biodegradable, plastic-free, and FSC certified. The product is dermatologically tested and offers a gentle clean with a touch of silk.",Fresh Moist Toilet Tissue,[],Baby Soft®,['Consumer Goods'],['Personal Hygiene'],True,['100% safe to flush' 'biodegradable' 'plastic-free' 'FSC certified'],[],[],[],[],[],-1,[],[],[],[],[],[],[],[],[],[],['FSC'],['dermatologically tested' 'touch of silk'],"""Baby Soft Fresh Moist Toilet Tissue"" is a toilet tissue product designed to offer a gentle and luxurious clean. It is 100% safe to flush, biodegradable, plastic-free, and FSC certified, ensuring environmental friendliness. The product is dermatologically tested and features a touch of silk for added comfort.",https://www.babysoft.co.za/|Baby Soft® Fresh Moist Toilet Tissue
Polymerase chain reaction PCR and reverse transcriptase polymerase chain reaction RT PCR products,escoglobal.co.uk,https://www.escoglobal.co.uk/,PCR Cabinets,PCR cabinets are used for sample handling and protection in PCR (Polymerase Chain Reaction) laboratories. They ensure the safe storage and handling of sensitive samples.,PCR Cabinets,[],,['Healthcare' 'Research'],['sample handling' 'PCR sample storage'],,[],[],[],[],[],[],-1,[],[],[],[],[],[],[],[],[],[],[],[],"""PCR Cabinets"" are used for sample handling and protection in PCR laboratories, ensuring the safe storage and handling of sensitive samples.",https://www.escoglobal.co.uk/|PCR Cabinets
Automation control connectivity devices,trombetta.co,https://trombetta.co/,CANopen Devices,"DC power products designed for a variety of applications, featuring CANopen communication protocols.",CANopen Devices,[],,['Technology'],['communication protocols'],,[],[],[],[],[],[],-1,[],[],[],[],[],[],[],[],[],[],[],[],"""CANopen Devices"" are DC power products designed for a variety of applications, featuring CANopen communication protocols.",https://trombetta.co/|CANopen Devices
Agricultural machinery for harvesting,fxforagerparts.co.uk,http://www.fxforagerparts.co.uk/,New Holland Forage Harvester Parts for NH FX Series,"New Holland Forage Harvester Parts for NH FX Series are essential maintenance and wearing parts specifically designed for the New Holland FX Series Self Propelled Forage Harvesters. These parts include a variety of components such as knife sets, shearbars, blowers, spouts, filters, and other maintenance parts. The parts are available for several models within the FX Series, including FX28 (9/98), FX450 (YELLOW), FX30 (1/02), FX48 (9/98), FX300 (YELLOW), FX50 (1/02), FX375 (YELLOW), FX58 (9/98), FX38 (9/98), FX60 (1/02), and FX40 (1/02). These parts are available for both UK and worldwide shipping, ensuring accessibility for customers across the globe. The parts are genuine New Holland spare parts, ensuring compatibility and reliability for the FX Forage Harvesters. The parts diagrams for all FX Series models are available, providing detailed access to the full range of genuine New Holland spare parts. The parts are designed to meet the high standards expected from New Holland equipment, ensuring durability and performance. The company offers competitive pricing and excellent customer service, making it a premier dealer in the country for FX Forage Harvesters parts.",Forage Harvester Parts,[],New Holland,['Agriculture'],['maintenance' 'repair'],,[],[],[],[],[],[],-1,[],"['Available for several models within the FX Series'
 'Parts diagrams for all FX Series models available']",[],[],[],[],[],[],[],[],[],"['Available for several models within the FX Series'
 'Parts diagrams for all FX Series models available']","""Forage Harvester Parts"" are essential maintenance and wearing parts designed for the New Holland FX Series Self Propelled Forage Harvesters. These parts, including knife sets, shearbars, blowers, spouts, and filters, are available for models such as FX28, FX450, FX30, FX48, FX300, FX50, FX375, FX58, FX38, FX60, and FX40. These genuine New Holland spare parts ensure compatibility and reliability, catering to customers worldwide.",http://www.fxforagerparts.co.uk/|New Holland Forage Harvester Parts for NH FX Series
Automation control connectivity devices,trombetta.co,https://trombetta.co/,CANopen Devices,Trombetta offers a full range of products that can be used for applications that conform to the CANopen protocol.,CANopen Devices,[],Trombetta,['Technology'],['Applications That Conform To The CANopen Protocol'],,[],[],[],[],[],[],-1,[],[],[],[],[],[],[],[],[],[],[],[],"""CANopen Devices"" manufactured by Trombetta are designed for use in applications that conform to the CANopen protocol.",https://trombetta.co/|CANopen Devices
Domestic kitchen tools and utensils,millargb.com,https://millargb.com/en/,Accessories,A selection of kitchen accessories to complement your cooking and cooking appliances.,Kitchen Accessories,[],,['Home Appliances'],['cooking' 'cooking appliances'],,[],[],[],[],[],[],-1,[],[],[],[],[],[],[],[],[],[],[],[],"""Kitchen Accessories"" are a selection of kitchen accessories designed to complement cooking and cooking appliances.",https://millargb.com/en/|Accessories
Infant foods and beverages,kendalnutricare.com,https://kendalnutricare.com/,Kendamil Baby Milk,"Kendamil Baby Milk is a world-class nutrition product made in the United Kingdom, specifically in Kendal, Cumbria. It is the only baby formula made in the United Kingdom, using traceable British milk certified by the Red Tractor Assurance Scheme. The product is produced following high standards embedded in the Codex Alimentarius, EFSA, and CFDA guidelines.",Baby Milk,[],Kendamil,['Food & Beverage'],['baby nutrition'],,[],[],[],[],[],['GB'],-1,[],[],[],[],[],[],[],[],[],[],['Red Tractor Assurance Scheme'],"['traceable British milk' 'certified by the Red Tractor Assurance Scheme'
 'produced following high standards embedded in the Codex Alimentarius, EFSA, and CFDA guidelines']","""Baby Milk"" is a baby formula produced in Kendal, Cumbria, United Kingdom, using traceable British milk certified by the Red Tractor Assurance Scheme. This product adheres to high standards, as per the Codex Alimentarius, EFSA, and CFDA guidelines, ensuring its quality and safety for infant nutrition.",https://kendalnutricare.com/|Kendamil Baby Milk
Infant foods and beverages,kendalnutricare.com,https://kendalnutricare.com/,Kendamil Baby Milk,"Kendamil Baby Milk is a British-made product, specifically crafted in the Lake District, ensuring high-quality nutrition for infants. It is part of Kendal Nutricare's extensive range of nutrition products, which are designed to cater to the nutritional needs of babies from early life to adulthood.",Baby Milk,[],Kendal Nutricare,['Food & Beverage'],['infant nutrition'],,[],[],[],[],[],['GB'],-1,[],[],[],[],[],[],[],[],[],[],[],['British-made' 'Crafted in the Lake District'],"""Baby Milk"" is a British-made product crafted in the Lake District, designed to provide high-quality nutrition for infants. It is part of Kendal Nutricare's range of nutrition products, which cater to the nutritional needs of babies from early life to adulthood.",https://kendalnutricare.com/|Kendamil Baby Milk
Personal paper products,babysoft.co.za,https://www.babysoft.co.za/,Baby Soft® Fresh Moist Toilet Tissue,"A fresh moist toilet tissue product that offers a gentle clean with a fresh scent. It is dermatologically tested and safe to flush, biodegradable, and plastic-free, with FSC certification.",Fresh Moist Toilet Tissue,[],Baby Soft,['Consumer Goods'],['Personal Hygiene' 'Environmental Safety'],True,['biodegradable' 'plastic-free' 'FSC certification'],[],[],[],[],[],-1,[],[],[],[],[],[],[],[],[],[],['FSC'],['dermatologically tested' 'fresh scent' 'biodegradable' 'plastic-free'],"""Baby Soft Fresh Moist Toilet Tissue"" is a fresh moist toilet tissue that ensures a gentle clean with a fresh scent. It is dermatologically tested, safe to flush, biodegradable, and free from plastic, featuring FSC certification.",https://www.babysoft.co.za/|Baby Soft® Fresh Moist Toilet Tissue
Laboratory enclosures and accessories,escoglobal.co.uk,https://www.escoglobal.co.uk/,PCR Cabinets,"PCR Cabinets are specialized laboratory equipment designed to provide a controlled environment for PCR reactions. These cabinets are suitable for a wide range of applications, including laboratory animal research, sample preparation, and pharmaceutical research. The cabinets are designed to meet stringent safety standards and certifications, ensuring they provide reliable and controlled environments for PCR reactions. They are available in different models, including forced convection and natural convection variants, and can be customized with features like high-heat sterilization capabilities. The cabinets are built to high-quality standards, ensuring durability and reliability in demanding laboratory environments.",PCR Cabinets,[],,['Healthcare' 'Research'],"['laboratory animal research' 'sample preparation'
 'pharmaceutical research']",,[],[],[],[],[],[],-1,[],['Customizable with features like high-heat sterilization capabilities'],[],[],[],[],[],[],[],[],[],['High-heat sterilization capabilities'],"""PCR Cabinets"" are specialized laboratory equipment designed to provide a controlled environment for PCR reactions. They are suitable for applications in laboratory animal research, sample preparation, and pharmaceutical research. These cabinets meet stringent safety standards and certifications, ensuring reliable and controlled environments for PCR reactions. They are available in models with forced convection and natural convection, and can be customized with features like high-heat sterilization capabilities. Built to high-quality standards, they are designed to be durable and reliable in demanding laboratory environments.",https://www.escoglobal.co.uk/|PCR Cabinets
Power generators,allsmallenginerepair.com,https://www.allsmallenginerepair.com/,Portable Generator Repair,"Diagnostic and repair services for portable generators, ensuring they are ready to provide reliable power when needed.",Portable Generator Repair,[],,['Maintenance'],['Portable Generator Repair'],,[],[],[],[],[],[],-1,[],[],[],[],[],[],[],[],[],[],[],[],"""Portable Generator Repair"" provides diagnostic and repair services for portable generators, ensuring they are ready to provide reliable power when needed.",https://www.allsmallenginerepair.com/|Portable Generator Repair
Compressors,ranecommercial.com,https://www.ranecommercial.com/legacy.php,Rane C4,"A discontinued compressor model from Rane, originally released in 2004. It includes detailed data sheets, manuals, and schematics for various versions and configurations.",Compressor,[],Rane,['Manufacturing'],['compression'],,[],[],[],[],[],[],-1,[],[],[],[],[],[],[],[],[],[],[],"['Discontinued' 'Includes detailed data sheets, manuals, and schematics']","""The 'Compressor' is a discontinued compressor model from Rane, originally released in 2004. It comes with detailed data sheets, manuals, and schematics for various versions and configurations.""",https://www.ranecommercial.com/legacy.php|Rane C4
Power generators,allsmallenginerepair.com,https://www.allsmallenginerepair.com/,Portable Generator Repair,"Service for repairing portable generators, maintaining their performance and reliability.",Portable Generator Repair,[],,['Maintenance'],['repairing portable generators'],,[],[],[],[],[],[],-1,[],[],[],[],[],[],[],[],[],[],[],[],"""Portable Generator Repair"" is a service designed for maintaining the performance and reliability of portable generators.",https://www.allsmallenginerepair.com/|Portable Generator Repair
Compressors,ranecommercial.com,https://www.ranecommercial.com/legacy.php,Rane C4,"A discontinued compressor model from Rane, originally released in 1992. It includes detailed data sheets, manuals, and schematics for various versions and configurations.",Compressor,[],Rane,['Audio' 'Video'],['compression'],,[],[],[],[],[],[],-1,[],[],[],[],[],[],[],[],[],[],[],"['Discontinued' 'Includes data sheets, manuals, and schematics']","""The 'Compressor' is a discontinued compressor model from Rane, originally released in 1992. It comes with detailed data sheets, manuals, and schematics for various versions and configurations.""",https://www.ranecommercial.com/legacy.php|Rane C4
Bearings,actparts.com,https://www.actparts.com/fr/products/bearings/spherical/,Spherical Bearing,"A spherical bearing suitable for various applications, identified by product number 4D4431.",Spherical Bearing,[],,['Manufacturing'],['supporting heavy loads'],,[],[],[],[],[],[],-1,[],[],[],[],[],[],[],[],[],[],[],[],"""The 'Spherical Bearing' is identified by product number 4D4431 and is suitable for various applications.""",https://www.actparts.com/fr/products/bearings/spherical/|Spherical Bearing
Domestic kitchen tools and utensils,millargb.com,https://millargb.com/en/,Accessories,A category of kitchen accessories to complement and enhance the functionality of kitchen appliances.,Kitchen Accessories,[],,['Home Appliances'],['Kitchen Enhancement'],,[],[],[],[],[],[],-1,[],[],[],[],[],[],[],[],[],[],[],[],"""Kitchen Accessories"" are designed to complement and enhance the functionality of kitchen appliances.",https://millargb.com/en/|Accessories
Bearings,actparts.com,https://www.actparts.com/fr/products/bearings/spherical/,Spherical Bearing,"A spherical bearing suitable for various applications, identified by product number 3J5689.",Spherical Bearing,['Product_Code: 3J5689'],,['Manufacturing'],['supporting mechanical components'],,[],[],[],[],[],[],-1,[],[],[],[],[],[],[],[],[],[],[],[],"The ""Spherical Bearing"" is identified by product number 3J5689 and is suitable for various applications.",https://www.actparts.com/fr/products/bearings/spherical/|Spherical Bearing
